"Source","Source ID","Category","Category ID","Name","Palette","Threadcount","Overview","Comment","Copyright","Source URL","Update date"
"Weddslist","","Robert Bradford","rb","Buchanan","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; Y#ffff00; ","K1 Y6 K1 B4 K1 G6 B4 G6 K1 B4 K1 R8 W1 R8 K1 B4 K1 Y6","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Buchanan D","R#c80000; G#004c00; K#000000; W#d0d0d0; Y#ffff00; ","W/2 G16 K1 W2 K1 Y4 K1 Y4 K1 W2 K1 R16 W/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Buchanan D1","R#900000; G#009000; K#000000; W#d0d0d0; Y#ffff00; ","W/2 G16 K1 W2 K1 Y4 K1 Y4 K1 W2 K1 R16 W/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Buchanan VS","R#ff0000; K#000000; W#d0d0d0; ","K/1 W9 R4 W2 R4 W/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cameron","G#004c00; R#c80000; Y#ffc800; ","Y/1 R16 G6 R2 G6 R/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cameron Clan D","R#c80000; G#004c00; Y#ffc800; ","Y/1 R15 G6 R1 G6 R/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cameron Hunting","R#c80000; G#004c00; B#000064; Y#ffc800; ","Y/2 G3 B16 G14 R3 G10 R/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cameron of Erracht","K#000000; B#00004c; G#004c00; Y#ffc800; R#c80000; ","G/8 R1 G1 R3 G16 K16 R1 B16 R3 B8 Y/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cameron of Locheil","R#c80000; G#004c00; B#000064; W#d0d0d0; ","R/6 G3 R6 B1 W1 B1 R2 B8 R/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Campbell","G#004c00; B#00004c; K#000000; ","B/11 K1 B1 K1 B1 K8 G8 K1 G8 K8 B8 K1 B/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Campbell Argyll","G#004c00; B#00004c; K#000000; W#d0d0d0; Y#ffc800; ","B/1 K1 B8 K8 G8 K1 W2 K1 G8 K8 B1 K1 B1 K1 B8 K1 B1 K1 B1 K8 G8 B1 Y2 B1 G8 K8 B8 K1 B/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Campbell Breadalbane","G#004c00; B#00004c; K#000000; Y#ffc800; ","K/3 B9 K9 G9 Y2 G9 K/9","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Campbell Cawdor","R#c80000; G#004c00; B#00004c; K#000000; W#d0d0d0; ","W/2 K1 G8 K8 B8 K1 R/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Campbell Loudon","G#004c00; B#00004c; K#000000; W#d0d0d0; Y#ffc800; ","Y/2 K1 G12 K12 B12 K1 B2 K1 B12 K12 G12 K1 W/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
