"Category", "Name", "Threadcount"
"Robert Bradford", "Comyn", "r#c80000g#004c00k#000000w#d0d0d0[r1(g4w1g4r2g2r9)k1"
"Robert Bradford", "Crawford", "r#c80000g#004c00w#d0d0d0[r6(w2r30g12r3g12)r3"
"Robert Bradford", "Cumming LO", "r#c80000g#004c00k#000000w#d0d0d0y#ffc800[w4(k2w4k10y1g10r4w1)r4"
"Robert Bradford", "Cumming SM", "r#c80000g#004c00k#000000w#d0d0d0[k2(r18g6r3g9w1g9)r3"
"Robert Bradford", "Cumming VS", "r#c80000g#004c00k#000000w#d0d0d0[k2(r24g4r2g4r4g8w1g8)r4"
"Robert Bradford", "Cunningham", "r#c80000b#00004ck#000000w#d0d0d0[w3(r1b1r28k30r1)k3"
"Robert Bradford", "Cunningham D", "r#c80000k#000000w#d0d0d0[w3(r1k1r28k30r1)k3"
"Robert Bradford", "Dalzell", "r#c80000g#004c00b#00004cw#d0d0d0[g6(r3g2r32b2w1r4b6r4w1b2r4g32r4b2w1)r24"
"Robert Bradford", "Davidson", "r#c80000g#004c00b#000064k#000000[r1(b6g1b1g8k1g8k1g1k6)r1"
"Robert Bradford", "Davidson Double", "r#c80000g#004c00b#000064k#000000w#d0d0d0[g3(w2k3g8k8b8r2)b3"
"Robert Bradford", "Davidson of Tulloch", "r#c80000g#004c00b#00004ck#000000w#d0d0d0[w1(g6k3b6)r1"
"Robert Bradford", "Deeside District", "b#536c9ay#ffc800g#96815cr#5d002cw#ffc800c#9b4000[w2(g2r4g10c2b8)y2"
"Robert Bradford", "Douglas", "w#d0d0d0g#004c00b#000064k#000000[k2(w2g8b8)w1"
"Robert Bradford", "Douglas Green", "g#004c00b#000064k#000000w#d0d0d0[k4(w2g8b8)w1"
"Robert Bradford", "Douglas VS", "k#000000w#707070[w2(k1w16k8w1k1w1)k16"
"Robert Bradford", "Drummond C", "r#c80000g#004c00b#000064k#000000w#d0d0d0[r3(k1r1g6r1g1r1k2r1w1r6b1r1b1)r3"
